Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
3/5/2007 15:30:00,72.59,72.59,72.59,72.59,1.00,72.59,200.00,14518.00,2.00
3/5/2007 15:15:00,72.56,72.59,72.59,72.35,1.00,72.56,3600.00,260752.00,10.00
3/5/2007 15:00:00,72.40,72.56,72.56,72.40,1.00,72.50,3200.00,231999.00,13.00
3/5/2007 14:45:00,72.40,72.50,72.51,72.40,1.00,72.40,4400.00,318601.00,5.00
3/5/2007 14:30:00,72.40,72.40,72.40,72.40,1.00,72.40,2000.00,144800.00,2.00
3/5/2007 14:15:00,72.40,72.40,72.40,72.40,1.00,72.32,1100.00,79640.00,2.00
3/5/2007 14:00:00,72.31,72.32,72.32,72.30,1.00,72.30,900.00,65075.00,3.00
3/5/2007 13:30:00,72.35,72.30,72.35,72.30,1.00,72.35,200.00,14465.00,2.00
3/5/2007 13:15:00,72.57,72.35,72.57,72.35,1.00,72.35,1100.00,79667.00,4.00
3/5/2007 13:00:00,72.36,72.35,72.36,72.35,1.00,72.57,300.00,21706.00,2.00
3/5/2007 12:45:00,72.39,72.57,72.57,72.39,1.01,72.17,700.00,50695.00,5.00
3/5/2007 12:30:00,72.40,72.17,72.40,72.17,1.00,72.40,1300.00,94051.00,9.00
3/5/2007 12:15:00,72.41,72.40,72.41,72.40,1.00,72.41,2000.00,144813.00,6.00
3/5/2007 12:00:00,72.41,72.41,72.41,72.41,0.99,72.78,200.00,14482.00,2.00
3/5/2007 11:45:00,72.50,72.78,72.78,72.50,1.00,72.50,900.00,65362.00,9.00
3/5/2007 11:30:00,72.75,72.50,72.75,72.50,1.00,72.74,6700.00,487275.00,5.00
3/5/2007 11:15:00,72.74,72.74,72.74,72.74,1.00,72.56,400.00,29096.00,4.00
3/5/2007 11:00:00,72.60,72.56,72.74,72.56,1.00,72.36,8000.00,581766.00,7.00
3/5/2007 10:45:00,72.97,72.36,72.97,72.35,0.99,73.00,1100.00,79820.00,9.00
3/5/2007 10:30:00,72.77,73.00,73.00,72.70,1.00,72.77,11100.00,807829.00,10.00
3/5/2007 10:15:00,72.80,72.77,72.80,72.77,1.00,72.79,10700.00,778660.00,6.00
3/5/2007 10:00:00,72.50,72.79,72.79,72.50,1.01,72.06,300.00,21808.00,3.00
2/5/2007 18:00:00,72.49,72.50,72.50,72.49,1.01,72.06,300.00,21749.00,2.00
2/5/2007 17:45:00,72.06,72.06,72.06,72.06,1.00,72.06,100.00,7206.00,1.00
2/5/2007 17:00:00,72.06,72.06,72.06,72.06,1.00,72.20,4300.00,309858.00,7.00
2/5/2007 16:45:00,72.48,72.20,72.48,72.20,1.00,72.21,1200.00,86785.00,9.00
2/5/2007 16:30:00,72.30,72.21,72.30,72.21,1.00,72.40,900.00,65034.00,5.00
2/5/2007 16:15:00,72.46,72.40,72.49,72.40,1.00,72.30,1400.00,101398.00,8.00
2/5/2007 16:00:00,72.30,72.30,72.30,72.30,1.00,72.30,100.00,7230.00,1.00
2/5/2007 15:45:00,72.26,72.30,72.44,72.26,1.00,72.44,1700.00,122966.00,7.00
2/5/2007 15:30:00,72.21,72.44,72.44,72.21,1.00,72.30,1100.00,79515.00,8.00
2/5/2007 15:15:00,72.40,72.30,72.40,72.30,1.00,72.40,1400.00,101241.00,4.00
2/5/2007 15:00:00,72.40,72.40,72.40,72.40,1.00,72.59,200.00,14480.00,2.00
2/5/2007 14:45:00,72.59,72.59,72.59,72.59,1.00,72.40,7000.00,508130.00,1.00
2/5/2007 14:30:00,72.41,72.40,72.41,72.40,1.00,72.65,700.00,50681.00,4.00
2/5/2007 14:15:00,72.51,72.65,72.68,72.50,1.00,72.69,22800.00,1654683.00,15.00
2/5/2007 14:00:00,72.50,72.69,72.69,72.50,1.00,72.50,2900.00,210269.00,5.00
2/5/2007 13:45:00,72.50,72.50,72.50,72.50,1.00,72.50,200.00,14500.00,1.00
2/5/2007 13:30:00,72.50,72.50,72.50,72.49,1.00,72.42,4600.00,333499.00,8.00
2/5/2007 13:15:00,72.41,72.42,72.56,72.41,1.00,72.40,300.00,21739.00,3.00
2/5/2007 12:45:00,72.51,72.40,72.51,72.40,1.00,72.60,2000.00,144941.00,6.00
2/5/2007 12:30:00,72.50,72.60,72.60,72.42,1.00,72.50,5100.00,369752.00,3.00
2/5/2007 12:15:00,72.60,72.50,72.60,72.50,1.00,72.60,800.00,58070.00,3.00
2/5/2007 12:00:00,72.70,72.60,72.74,72.07,1.00,72.70,9700.00,704606.00,9.00
2/5/2007 11:45:00,72.74,72.70,72.74,72.70,1.00,72.70,2000.00,145412.00,5.00
2/5/2007 11:30:00,72.70,72.70,72.70,72.70,1.00,72.75,400.00,29080.00,2.00
2/5/2007 11:15:00,72.74,72.75,72.75,72.74,1.00,72.74,600.00,43649.00,4.00
2/5/2007 11:00:00,72.74,72.74,72.75,72.74,1.00,72.75,13400.00,974718.00,7.00
2/5/2007 10:45:00,72.74,72.75,72.75,72.73,1.00,72.75,21600.00,1571396.00,16.00
2/5/2007 10:30:00,72.40,72.75,72.75,72.40,1.00,72.39,1400.00,101754.00,5.00
2/5/2007 10:15:00,72.21,72.39,72.39,72.21,1.01,71.99,200.00,14460.00,2.00
2/5/2007 10:00:00,71.70,71.99,71.99,71.70,0.99,72.81,200.00,14369.00,2.00
