Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
3/5/2007 15:30:00,1266.62,1263.99,1269.83,1263.99,1.00,1266.65,910000.00,64421152.00,21.00
3/5/2007 15:15:00,1262.33,1266.65,1266.65,1261.99,1.00,1261.22,4450000.00,68673616.00,49.00
3/5/2007 15:00:00,1257.99,1261.22,1263.36,1255.00,1.00,1258.50,790000.00,13562444.00,24.00
3/5/2007 14:45:00,1253.50,1258.50,1259.81,1253.50,1.00,1253.00,630000.00,13313344.00,15.00
3/5/2007 14:30:00,1251.95,1253.00,1254.20,1251.95,1.00,1254.46,530000.00,13171394.00,16.00
3/5/2007 14:15:00,1255.00,1254.46,1255.18,1251.00,1.00,1254.14,790000.00,13528608.00,28.00
3/5/2007 14:00:00,1252.41,1254.14,1255.00,1252.41,1.00,1252.24,210000.00,50309484.00,5.00
3/5/2007 13:45:00,1250.00,1252.24,1252.24,1248.60,1.00,1250.00,300000.00,100274968.00,10.00
3/5/2007 13:30:00,1247.77,1250.00,1250.21,1247.77,1.00,1249.00,270000.00,25267692.00,8.00
3/5/2007 13:15:00,1251.83,1249.00,1252.00,1245.99,1.00,1248.01,470000.00,13093085.00,14.00
3/5/2007 13:00:00,1248.66,1248.01,1250.92,1247.88,1.00,1248.21,430000.00,50433484.00,16.00
3/5/2007 12:45:00,1243.05,1248.21,1264.99,1243.01,1.00,1243.98,1330000.00,14075928.00,29.00
3/5/2007 12:30:00,1241.93,1243.98,1243.98,1241.00,1.00,1243.00,700000.00,13275860.00,9.00
3/5/2007 12:15:00,1241.37,1243.00,1243.00,1238.00,1.00,1238.00,220000.00,12673916.00,8.00
3/5/2007 12:00:00,1242.00,1238.00,1244.26,1238.00,1.00,1242.00,670000.00,124906904.00,9.00
3/5/2007 11:45:00,1235.80,1242.00,1243.00,1235.80,1.01,1233.80,1010000.00,13597895.00,24.00
3/5/2007 11:30:00,1236.00,1233.80,1236.00,1233.00,1.00,1236.00,400000.00,12841311.00,13.00
3/5/2007 11:15:00,1235.00,1236.00,1239.12,1233.25,1.00,1234.66,840000.00,38051896.00,19.00
3/5/2007 11:00:00,1229.90,1234.66,1239.59,1229.90,1.00,1229.00,450000.00,12842267.00,22.00
3/5/2007 10:45:00,1224.97,1229.00,1229.00,1221.71,1.00,1228.11,680000.00,25307368.00,27.00
3/5/2007 10:30:00,1223.99,1228.11,1228.99,1220.00,1.01,1216.54,810000.00,111040016.00,22.00
3/5/2007 10:15:00,1223.99,1216.54,1223.99,1216.54,1.00,1220.00,100000.00,12349985.00,3.00
3/5/2007 10:00:00,1220.00,1220.00,1220.00,1220.00,1.00,1220.00,10000.00,12200000.00,1.00
