Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
3/5/2007 15:30:00,52.10,52.05,52.12,51.98,1.00,52.09,33800.00,1759939.00,30.00
3/5/2007 15:15:00,52.05,52.09,52.09,52.00,1.00,51.98,126100.00,6562794.00,117.00
3/5/2007 15:00:00,51.95,51.98,52.08,51.87,1.00,51.95,53100.00,2758410.00,64.00
3/5/2007 14:45:00,52.03,51.95,52.10,51.92,1.00,52.01,156100.00,8116598.00,84.00
3/5/2007 14:30:00,52.09,52.01,52.20,51.97,1.00,52.11,150900.00,7848336.00,139.00
3/5/2007 14:15:00,52.10,52.11,52.11,52.06,1.00,52.09,6800.00,354135.00,11.00
3/5/2007 14:00:00,52.12,52.09,52.12,52.06,1.00,52.14,1000.00,52090.00,3.00
3/5/2007 13:45:00,52.01,52.14,52.20,52.01,1.00,52.14,7200.00,375570.00,10.00
3/5/2007 13:30:00,52.10,52.14,52.14,52.04,1.00,52.10,17400.00,906027.00,20.00
3/5/2007 13:15:00,52.10,52.10,52.19,52.01,1.00,52.04,36300.00,1892232.00,32.00
3/5/2007 13:00:00,52.14,52.04,52.15,52.00,1.00,52.08,27100.00,1410683.00,24.00
3/5/2007 12:45:00,52.07,52.08,52.10,52.00,1.00,52.06,52500.00,2733896.00,53.00
3/5/2007 12:30:00,52.10,52.06,52.10,52.00,1.00,52.10,17100.00,889730.00,11.00
3/5/2007 12:15:00,52.02,52.10,52.13,52.00,1.00,52.02,127800.00,6653090.00,94.00
3/5/2007 12:00:00,51.92,52.02,52.03,51.90,1.00,51.87,67200.00,3493251.00,64.00
3/5/2007 11:45:00,51.86,51.87,51.87,51.83,1.00,51.83,18000.00,933475.00,18.00
3/5/2007 11:30:00,51.88,51.83,51.93,51.75,1.00,51.90,33900.00,1758405.00,33.00
3/5/2007 11:15:00,51.73,51.90,51.92,51.71,1.00,51.81,15100.00,782263.00,19.00
3/5/2007 11:00:00,51.78,51.81,51.81,51.67,1.00,51.62,18300.00,946768.00,20.00
3/5/2007 10:45:00,51.60,51.62,51.72,51.60,1.00,51.60,23700.00,1223821.00,22.00
3/5/2007 10:30:00,51.81,51.60,51.90,51.60,1.00,51.81,77100.00,3988465.00,83.00
3/5/2007 10:15:00,51.85,51.81,51.99,51.75,1.00,51.80,11300.00,586370.00,12.00
3/5/2007 10:00:00,51.72,51.80,51.80,51.72,1.01,51.50,4400.00,227747.00,7.00
2/5/2007 18:15:00,51.89,51.89,51.89,51.89,1.01,51.42,100.00,5189.00,1.00
2/5/2007 18:00:00,51.42,51.42,51.42,51.42,1.00,51.40,100.00,5142.00,1.00
2/5/2007 17:45:00,51.40,51.40,51.40,51.40,1.00,51.50,1800.00,92520.00,4.00
2/5/2007 17:00:00,51.50,51.50,51.50,51.50,1.00,51.40,47100.00,2425650.00,11.00
2/5/2007 16:45:00,51.33,51.40,51.48,51.33,1.00,51.40,60600.00,3115834.00,27.00
2/5/2007 16:30:00,51.49,51.40,51.49,51.39,1.00,51.49,48800.00,2509672.00,54.00
2/5/2007 16:15:00,51.51,51.49,51.55,51.44,1.00,51.50,32500.00,1673449.00,52.00
2/5/2007 16:00:00,51.55,51.50,51.60,51.46,1.00,51.55,61000.00,3143074.00,94.00
2/5/2007 15:45:00,51.65,51.55,51.70,51.55,1.00,51.68,28800.00,1486671.00,29.00
2/5/2007 15:30:00,51.60,51.68,51.68,51.55,1.00,51.58,77800.00,4014482.00,59.00
2/5/2007 15:15:00,51.54,51.58,51.67,51.52,1.00,51.48,69200.00,3568658.00,54.00
2/5/2007 15:00:00,51.60,51.48,51.60,51.48,1.00,51.60,22900.00,1180317.00,24.00
2/5/2007 14:45:00,51.79,51.60,51.79,51.60,1.00,51.76,12100.00,624916.00,16.00
2/5/2007 14:30:00,51.76,51.76,51.80,51.73,1.00,51.72,5200.00,269247.00,10.00
2/5/2007 14:15:00,51.69,51.72,51.83,51.69,1.00,51.71,35100.00,1816220.00,24.00
2/5/2007 14:00:00,51.65,51.71,51.76,51.65,1.00,51.65,25000.00,1292725.00,32.00
2/5/2007 13:45:00,51.54,51.65,51.65,51.54,1.00,51.49,57400.00,2961643.00,36.00
2/5/2007 13:30:00,51.60,51.49,51.60,51.47,1.00,51.60,38500.00,1983315.00,36.00
2/5/2007 13:15:00,51.50,51.60,51.65,51.50,1.00,51.45,61500.00,3172809.00,29.00
2/5/2007 13:00:00,51.40,51.45,51.50,51.39,1.00,51.40,57200.00,2942160.00,18.00
2/5/2007 12:45:00,51.40,51.40,51.41,51.35,1.00,51.40,14000.00,719296.00,14.00
2/5/2007 12:30:00,51.60,51.40,51.60,51.40,1.00,51.60,45000.00,2314583.00,21.00
2/5/2007 12:15:00,51.60,51.60,51.60,51.53,1.00,51.60,153600.00,7924558.00,87.00
2/5/2007 12:00:00,51.60,51.60,51.66,51.54,1.00,51.62,108200.00,5580849.00,71.00
2/5/2007 11:45:00,51.62,51.62,51.71,51.60,1.00,51.62,24400.00,1260185.00,39.00
2/5/2007 11:30:00,51.67,51.62,51.83,51.61,1.00,51.67,100900.00,5216830.00,107.00
2/5/2007 11:15:00,51.54,51.67,51.70,51.54,1.00,51.55,63800.00,3292640.00,56.00
2/5/2007 11:00:00,51.59,51.55,51.86,51.50,1.00,51.62,73000.00,3773914.00,56.00
2/5/2007 10:45:00,51.70,51.62,51.79,51.62,1.00,51.65,75300.00,3892948.00,103.00
2/5/2007 10:30:00,51.42,51.65,51.79,51.40,1.00,51.40,73000.00,3765385.00,83.00
2/5/2007 10:15:00,51.51,51.40,51.51,51.26,1.00,51.51,60600.00,3115517.00,35.00
2/5/2007 10:00:00,51.99,51.51,51.99,51.40,1.01,51.20,30900.00,1593827.00,27.00
