Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
28/12/2006 18:00:00,54.49,54.49,54.49,54.49,1.00,54.30,175000.00,9535750.00,29.00
28/12/2006 17:45:00,54.21,54.30,54.30,54.21,1.00,54.21,5200.00,282080.00,4.00
28/12/2006 17:30:00,54.20,54.21,54.21,54.19,1.00,54.20,3700.00,200543.00,3.00
28/12/2006 17:15:00,54.29,54.20,54.32,54.20,1.01,53.50,33600.00,1823025.00,18.00
28/12/2006 17:00:00,54.22,54.30,54.30,54.20,1.00,54.20,47700.00,2587058.00,30.00
28/12/2006 16:45:00,54.22,54.20,54.24,54.15,1.00,54.22,42600.00,2308775.00,28.00
28/12/2006 16:30:00,54.24,54.22,54.27,54.16,1.00,54.20,16000.00,867707.00,18.00
28/12/2006 16:15:00,54.25,54.20,54.25,54.16,1.00,54.25,6900.00,374197.00,10.00
28/12/2006 16:00:00,54.33,54.25,54.33,54.25,1.00,54.34,28700.00,1557212.00,17.00
28/12/2006 15:45:00,54.35,54.34,54.35,54.33,1.00,54.29,13800.00,749781.00,11.00
28/12/2006 15:30:00,54.20,54.29,54.30,54.20,1.00,54.20,20100.00,1091064.00,12.00
28/12/2006 15:15:00,54.20,54.20,54.21,54.12,1.00,54.13,21100.00,1143220.00,23.00
28/12/2006 15:00:00,54.15,54.13,54.17,54.10,1.00,54.15,53800.00,2912665.00,57.00
28/12/2006 14:45:00,54.20,54.15,54.20,54.15,1.00,54.20,19300.00,1045445.00,15.00
28/12/2006 14:30:00,54.20,54.20,54.20,54.15,1.00,54.15,8100.00,438870.00,10.00
28/12/2006 14:15:00,54.15,54.15,54.20,54.14,1.00,54.06,9800.00,530710.00,12.00
28/12/2006 14:00:00,54.00,54.06,54.06,54.00,1.00,54.00,7000.00,378063.00,13.00
28/12/2006 13:45:00,54.18,54.00,54.18,53.96,1.00,54.07,16100.00,870034.00,34.00
28/12/2006 13:30:00,53.97,54.07,54.12,53.95,1.00,53.90,7100.00,383765.00,16.00
28/12/2006 13:15:00,53.97,53.90,54.21,53.89,1.00,54.00,58100.00,3138118.00,43.00
28/12/2006 13:00:00,54.14,54.00,54.20,53.97,1.00,54.10,238900.00,12920844.00,167.00
28/12/2006 12:45:00,54.37,54.10,54.42,54.01,0.99,54.40,76000.00,4119940.00,121.00
28/12/2006 12:30:00,54.55,54.40,54.63,54.27,1.00,54.59,172000.00,9363085.00,206.00
28/12/2006 12:15:00,54.51,54.59,54.70,54.50,1.00,54.60,17000.00,927528.00,15.00
28/12/2006 12:00:00,54.50,54.60,54.65,54.50,1.00,54.43,1500.00,81864.00,6.00
28/12/2006 11:45:00,54.79,54.43,54.80,54.43,0.99,54.80,18100.00,990631.00,19.00
28/12/2006 11:30:00,54.45,54.80,55.00,54.43,1.00,54.56,50100.00,2743002.00,37.00
28/12/2006 11:15:00,54.29,54.56,54.59,54.29,1.00,54.35,37500.00,2041880.00,17.00
28/12/2006 11:00:00,54.35,53.50,53.50,53.50,0.99,54.30,5100.00,272850.00,2.00
27/12/2006 18:45:00,54.50,54.50,54.50,54.50,1.00,54.30,100.00,5450.00,1.00
