Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
30/4/2007,52.00,51.20,52.68,51.20,0.98,52.00,1416700.00,73586176.00,960.00
27/4/2007,52.10,52.00,52.30,51.50,0.99,52.40,1175900.00,61075488.00,842.00
26/4/2007,53.30,52.40,53.60,52.40,0.98,53.30,1165200.00,61486576.00,836.00
25/4/2007,52.36,53.30,53.68,52.20,1.02,52.10,929600.00,49316728.00,921.00
24/4/2007,52.40,52.10,52.49,51.65,0.99,52.41,1042500.00,54269536.00,806.00
23/4/2007,53.02,52.41,53.02,52.05,1.00,52.50,983400.00,51641244.00,714.00
20/4/2007,53.17,52.50,53.17,52.04,1.00,52.28,753700.00,39587480.00,757.00
19/4/2007,52.70,52.28,52.70,51.05,0.99,53.00,1379000.00,71999272.00,1053.00
18/4/2007,53.37,53.00,53.67,52.97,0.99,53.70,1154400.00,61570408.00,1322.00
17/4/2007,54.41,53.70,54.85,53.30,0.99,54.49,877100.00,47288412.00,786.00
16/4/2007,53.98,54.49,54.84,53.86,1.02,53.60,1011500.00,54967944.00,912.00
13/4/2007,53.05,53.60,53.80,52.86,1.01,52.90,1162300.00,62101640.00,1013.00
12/4/2007,51.54,52.90,53.07,51.54,1.02,51.90,1437000.00,75619592.00,1276.00
11/4/2007,52.50,51.90,53.00,51.85,0.99,52.50,1062800.00,55524356.00,790.00
10/4/2007,51.60,52.50,52.57,51.53,1.01,51.80,1582000.00,82562944.00,1070.00
9/4/2007,51.80,51.80,52.66,51.71,1.00,51.90,1283300.00,67037480.00,982.00
5/4/2007,51.20,51.90,52.21,51.11,1.01,51.53,1059700.00,54855848.00,1049.00
4/4/2007,50.45,51.53,51.69,50.29,1.02,50.75,1289100.00,65820732.00,1012.00
3/4/2007,51.28,50.75,51.50,50.50,0.99,51.08,1365600.00,69511384.00,984.00
2/4/2007,51.30,51.45,51.62,51.06,0.99,51.74,960000.00,49281684.00,904.00
30/3/2007,51.50,51.74,52.10,50.83,1.00,51.51,1932700.00,99491304.00,1275.00
29/3/2007,49.10,51.51,52.10,49.10,1.06,48.80,2764100.00,140375184.00,2008.00
28/3/2007,49.10,48.80,49.52,48.75,1.00,48.80,1065600.00,52248212.00,784.00
27/3/2007,49.10,48.80,49.41,48.70,0.99,49.35,1106300.00,54152792.00,825.00
26/3/2007,49.30,49.35,49.45,48.55,1.01,49.00,793500.00,38905080.00,637.00
23/3/2007,49.00,49.00,49.50,48.70,1.01,48.72,1148600.00,56357716.00,690.00
22/3/2007,48.50,48.72,49.12,48.26,1.02,47.90,1082700.00,52736916.00,811.00
21/3/2007,46.60,47.90,48.09,46.50,1.03,46.35,1273700.00,60412860.00,1002.00
20/3/2007,46.10,46.35,46.60,45.67,1.02,45.55,1560200.00,72238928.00,1276.00
19/3/2007,46.00,45.55,46.00,45.25,1.02,44.85,1252300.00,57135592.00,821.00
16/3/2007,45.86,44.85,46.21,44.85,0.98,45.70,1113500.00,50592184.00,864.00
15/3/2007,46.88,45.70,46.88,45.52,0.99,46.19,1017500.00,46623288.00,746.00
14/3/2007,45.95,46.19,46.29,45.04,1.00,45.98,1291200.00,59225924.00,1236.00
13/3/2007,46.45,45.98,46.99,45.75,0.98,46.80,1950200.00,90347336.00,986.00
12/3/2007,47.77,46.80,48.00,46.66,0.99,47.30,1238300.00,58092484.00,646.00
9/3/2007,47.76,47.30,48.00,46.90,1.00,47.12,1008200.00,47770388.00,662.00
8/3/2007,47.00,47.12,47.56,46.70,1.04,45.48,793400.00,37443808.00,618.00
7/3/2007,46.49,45.48,47.20,45.48,0.98,46.50,1266200.00,58557420.00,727.00
6/3/2007,46.10,46.50,46.75,45.80,1.03,45.02,1269400.00,58835492.00,811.00
5/3/2007,44.90,45.02,45.50,44.33,0.98,45.99,2216100.00,100028112.00,2389.00
2/3/2007,46.99,45.99,47.21,45.79,0.97,47.34,2119800.00,98187304.00,1158.00
1/3/2007,47.29,47.34,47.40,45.51,0.99,47.85,1898700.00,88610712.00,1594.00
