Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
5/10/2007 15:30:00,61.80,61.80,61.80,61.80,1.00,61.80,800.00,49440.00,2.00
5/10/2007 15:15:00,61.55,61.80,61.80,61.48,1.00,61.55,390400.00,24055800.00,232.00
5/10/2007 15:00:00,61.60,61.55,61.61,61.43,1.00,61.55,345000.00,21226344.00,155.00
5/10/2007 14:45:00,61.64,61.55,61.69,61.55,1.00,61.64,240000.00,14793184.00,249.00
5/10/2007 14:30:00,61.50,61.64,61.64,61.41,1.00,61.50,212000.00,13044736.00,219.00
5/10/2007 14:15:00,61.34,61.50,61.50,61.31,1.00,61.35,156300.00,9596996.00,150.00
5/10/2007 14:00:00,61.41,61.35,61.44,61.28,1.00,61.40,121300.00,7445250.00,97.00
5/10/2007 13:45:00,61.30,61.40,61.41,61.18,1.00,61.29,340900.00,20891720.00,168.00
5/10/2007 13:30:00,61.24,61.29,61.40,61.21,1.00,61.30,245100.00,15029384.00,166.00
5/10/2007 13:15:00,61.30,61.30,61.35,61.17,1.00,61.20,155200.00,9504619.00,128.00
5/10/2007 13:00:00,61.45,61.20,61.45,61.15,1.00,61.45,143200.00,8779160.00,160.00
5/10/2007 12:45:00,61.32,61.45,61.50,61.32,1.00,61.33,336900.00,20692964.00,283.00
5/10/2007 12:30:00,61.04,61.33,61.38,61.04,1.01,61.01,692500.00,42399336.00,429.00
5/10/2007 12:15:00,60.74,61.01,61.08,60.70,1.01,60.67,651200.00,39689028.00,474.00
5/10/2007 12:00:00,60.50,60.67,60.76,60.49,1.00,60.42,425900.00,25834272.00,295.00
5/10/2007 11:45:00,60.54,60.42,60.75,60.42,1.00,60.55,377000.00,22845872.00,279.00
5/10/2007 11:30:00,60.36,60.55,60.61,60.30,1.00,60.36,325600.00,19690900.00,263.00
5/10/2007 11:15:00,60.40,60.36,60.51,60.36,1.00,60.43,562400.00,33994300.00,399.00
5/10/2007 11:00:00,60.35,60.43,60.44,60.24,1.00,60.35,426900.00,25759400.00,198.00
5/10/2007 10:45:00,60.36,60.35,60.38,60.21,1.00,60.35,344800.00,20796080.00,199.00
5/10/2007 10:30:00,60.40,60.35,60.45,60.31,1.00,60.40,673200.00,40638072.00,378.00
5/10/2007 10:15:00,60.56,60.40,60.58,60.20,1.00,60.56,444800.00,26857520.00,261.00
5/10/2007 10:00:00,60.40,60.56,60.69,60.01,1.02,59.20,603500.00,36498064.00,350.00
4/10/2007 18:45:00,59.14,59.19,59.19,59.14,1.00,59.17,600.00,35498.00,4.00
4/10/2007 18:30:00,59.16,59.17,59.17,59.16,1.00,59.13,600.00,35499.00,5.00
4/10/2007 18:15:00,59.16,59.13,59.16,59.13,1.00,59.20,1100.00,65067.00,7.00
4/10/2007 18:00:00,59.20,59.20,59.20,59.16,1.00,59.15,600.00,35512.00,5.00
4/10/2007 17:45:00,59.20,59.15,59.25,59.15,1.00,59.18,5600.00,331524.00,17.00
4/10/2007 17:00:00,59.20,59.20,59.20,59.20,1.00,59.11,457000.00,27054400.00,51.00
4/10/2007 16:45:00,59.36,59.11,59.40,59.08,1.00,59.36,240700.00,14243809.00,282.00
