Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
5/10/2007 15:15:00,51.34,51.73,51.73,51.31,1.01,51.34,557900.00,28749804.00,457.00
5/10/2007 15:00:00,51.42,51.34,51.49,51.21,1.00,51.42,202200.00,10377990.00,246.00
5/10/2007 14:45:00,51.19,51.42,51.45,51.19,1.00,51.19,231100.00,11867280.00,334.00
5/10/2007 14:30:00,51.00,51.19,51.25,51.00,1.00,51.00,171400.00,8759629.00,169.00
5/10/2007 14:15:00,50.95,51.00,51.00,50.90,1.00,50.95,163400.00,8331371.00,176.00
5/10/2007 14:00:00,51.04,50.95,51.09,50.95,1.00,51.03,214400.00,10935708.00,209.00
5/10/2007 13:45:00,51.12,51.03,51.17,51.02,1.00,51.13,99600.00,5088084.00,153.00
5/10/2007 13:30:00,51.04,51.13,51.19,51.00,1.00,51.10,89000.00,4544380.00,168.00
5/10/2007 13:15:00,51.09,51.10,51.18,51.01,1.00,51.10,100400.00,5132019.00,148.00
5/10/2007 13:00:00,51.30,51.10,51.32,51.08,1.00,51.30,121000.00,6195345.00,182.00
5/10/2007 12:45:00,51.17,51.30,51.32,51.00,1.00,51.18,417300.00,21359568.00,334.00
5/10/2007 12:30:00,51.15,51.18,51.23,51.04,1.00,51.05,683000.00,34952800.00,420.00
5/10/2007 12:15:00,51.03,51.05,51.32,51.00,1.00,51.00,525100.00,26869432.00,443.00
5/10/2007 12:00:00,50.74,51.00,51.20,50.74,1.01,50.74,601000.00,30683820.00,590.00
5/10/2007 11:45:00,50.64,50.74,50.81,50.60,1.00,50.67,242900.00,12323660.00,339.00
5/10/2007 11:30:00,50.55,50.67,50.75,50.52,1.00,50.57,241000.00,12202483.00,315.00
5/10/2007 11:15:00,50.70,50.57,50.72,50.50,1.00,50.70,428900.00,21716514.00,430.00
5/10/2007 11:00:00,50.35,50.70,50.77,50.30,1.01,50.31,749700.00,37886896.00,523.00
5/10/2007 10:45:00,50.40,50.31,50.50,50.21,1.00,50.40,840800.00,42359892.00,638.00
5/10/2007 10:30:00,50.78,50.40,50.80,50.38,0.99,50.74,751300.00,38014248.00,840.00
5/10/2007 10:15:00,50.69,50.74,50.80,50.51,1.00,50.68,555900.00,28171344.00,563.00
5/10/2007 10:00:00,50.60,50.68,51.00,50.51,1.03,49.12,1269000.00,64390364.00,881.00
4/10/2007 18:45:00,49.39,49.25,49.39,49.25,1.00,49.38,21000.00,1035470.00,83.00
4/10/2007 18:30:00,49.32,49.38,49.44,49.30,1.00,49.30,23900.00,1180302.00,76.00
4/10/2007 18:15:00,49.15,49.30,49.30,49.12,1.00,49.14,38000.00,1869869.00,90.00
4/10/2007 18:00:00,49.21,49.14,49.25,49.13,1.00,49.25,44900.00,2208414.00,103.00
4/10/2007 17:45:00,49.20,49.25,49.30,49.17,1.00,49.12,52800.00,2598521.00,123.00
4/10/2007 17:00:00,49.12,49.12,49.12,49.12,0.99,49.38,1049500.00,51551440.00,559.00
4/10/2007 16:45:00,49.50,49.38,49.55,49.31,1.00,49.50,304900.00,15074726.00,385.00
4/10/2007 16:30:00,49.39,49.50,49.56,49.36,1.00,49.39,669600.00,33098058.00,502.00
4/10/2007 16:15:00,49.70,49.39,49.73,49.31,0.99,49.70,617300.00,30525296.00,562.00
4/10/2007 16:00:00,49.56,49.70,49.75,49.50,1.00,49.59,409200.00,20311840.00,362.00
4/10/2007 15:45:00,49.49,49.59,49.82,49.39,1.00,49.47,663900.00,32962504.00,510.00
4/10/2007 15:30:00,49.30,49.47,49.67,49.26,1.00,49.30,684100.00,33859368.00,561.00
4/10/2007 15:15:00,49.65,49.30,49.70,49.21,0.99,49.70,1099300.00,54340444.00,1198.00
4/10/2007 15:00:00,49.60,49.70,49.89,49.58,1.00,49.62,766200.00,38120552.00,583.00
4/10/2007 14:45:00,49.94,49.62,49.94,49.59,0.99,49.90,669600.00,33340892.00,590.00
4/10/2007 14:30:00,50.05,49.90,50.05,49.80,1.00,50.05,361100.00,18028820.00,358.00
4/10/2007 14:15:00,49.88,50.05,50.10,49.85,1.00,49.86,432400.00,21603604.00,352.00
4/10/2007 14:00:00,50.20,49.86,50.20,49.86,0.99,50.20,446400.00,22328956.00,548.00
4/10/2007 13:45:00,50.35,50.20,50.40,50.09,1.00,50.35,363000.00,18230704.00,347.00
4/10/2007 13:30:00,50.14,50.35,50.44,50.10,1.00,50.14,313700.00,15786684.00,375.00
4/10/2007 13:15:00,49.90,50.14,50.35,49.85,1.00,49.94,404000.00,20258058.00,395.00
4/10/2007 13:00:00,50.05,49.94,50.05,49.60,1.00,50.08,402500.00,20062664.00,550.00
4/10/2007 12:45:00,49.99,50.08,50.13,49.63,1.00,49.98,1179200.00,58769932.00,951.00
4/10/2007 12:30:00,50.86,49.98,50.89,49.98,0.98,50.86,816300.00,41082816.00,1029.00
4/10/2007 12:15:00,50.91,50.86,51.29,50.86,1.00,50.95,482800.00,24688016.00,510.00
4/10/2007 12:00:00,51.20,50.95,51.29,50.86,1.00,51.20,835500.00,42627496.00,633.00
4/10/2007 11:45:00,50.48,51.20,51.55,50.48,1.01,50.49,1747500.00,89212712.00,1307.00
4/10/2007 11:30:00,50.20,50.49,50.66,50.18,1.01,50.20,1343100.00,67782024.00,883.00
4/10/2007 11:15:00,50.06,50.20,50.64,50.05,1.00,50.10,1375200.00,69236280.00,866.00
4/10/2007 11:00:00,49.59,50.10,50.15,49.50,1.01,49.59,691600.00,34453264.00,772.00
4/10/2007 10:45:00,50.01,49.59,50.08,49.20,0.99,50.08,1539600.00,76277464.00,1696.00
4/10/2007 10:30:00,50.60,50.08,50.68,50.01,0.99,50.60,865700.00,43567040.00,889.00
4/10/2007 10:15:00,49.96,50.60,50.88,49.64,1.01,49.90,836900.00,41960632.00,944.00
4/10/2007 10:00:00,50.98,49.90,51.30,49.84,0.99,50.50,1367200.00,69426416.00,1901.00
3/10/2007 18:45:00,50.74,50.98,51.00,50.74,1.00,50.74,30900.00,1572353.00,121.00
3/10/2007 18:30:00,50.79,50.74,50.82,50.65,1.00,50.79,33100.00,1678760.00,110.00
3/10/2007 18:15:00,50.76,50.79,50.80,50.70,1.00,50.79,26800.00,1359935.00,106.00
3/10/2007 18:00:00,50.94,50.79,50.79,50.70,1.00,50.90,13900.00,705250.00,46.00
3/10/2007 17:45:00,50.51,50.90,50.95,50.51,0.95,53.75,129000.00,6535745.00,264.00
3/10/2007 17:00:00,50.50,50.50,50.50,50.50,1.00,50.62,1502100.00,75856048.00,708.00
3/10/2007 16:45:00,50.67,50.62,50.80,50.60,1.00,50.70,1326900.00,67294304.00,888.00
3/10/2007 16:30:00,51.08,50.70,51.19,50.65,0.99,51.07,1694200.00,86370408.00,1738.00
3/10/2007 16:15:00,51.44,51.07,51.50,51.05,0.99,51.44,881600.00,45145768.00,970.00
3/10/2007 16:00:00,51.27,51.44,51.44,51.15,1.00,51.24,867700.00,44482384.00,658.00
3/10/2007 15:45:00,51.32,51.24,51.37,51.10,1.00,51.32,872500.00,44670452.00,1004.00
3/10/2007 15:30:00,51.44,51.32,51.54,51.28,1.00,51.45,666300.00,34256568.00,753.00
3/10/2007 15:15:00,51.20,51.45,51.50,51.19,1.00,51.20,656800.00,33700920.00,705.00
3/10/2007 15:00:00,51.25,51.20,51.38,51.15,1.00,51.25,672100.00,34438304.00,713.00
