Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
2/5/2007,71.70,72.06,72.75,71.70,0.99,72.81,108200.00,7854215.00,152.00
30/4/2007,73.09,72.81,73.10,72.20,1.00,73.09,83200.00,6045660.00,103.00
27/4/2007,71.00,73.09,73.29,68.76,1.02,71.40,59100.00,4180018.00,141.00
26/4/2007,73.30,71.40,73.45,71.30,0.98,72.49,44400.00,3206917.00,164.00
25/4/2007,73.37,72.50,73.37,72.28,1.00,72.72,76000.00,5509397.00,204.00
24/4/2007,72.18,72.72,73.76,71.11,1.01,71.74,41100.00,2984762.25,125.00
23/4/2007,71.95,71.74,72.10,71.29,1.00,71.95,18800.00,1347559.25,67.00
20/4/2007,72.95,71.95,72.95,70.90,1.00,71.98,113900.00,8195704.00,205.00
19/4/2007,71.51,71.98,72.37,71.49,1.00,71.98,33700.00,2426222.50,145.00
18/4/2007,72.22,71.98,73.35,71.82,1.00,71.80,98800.00,7143148.00,405.00
17/4/2007,72.48,71.80,72.86,71.79,0.99,72.47,56200.00,4066107.75,169.00
16/4/2007,72.76,72.47,72.97,71.99,1.01,71.98,29200.00,2118841.00,148.00
13/4/2007,71.39,71.98,71.98,71.15,1.01,71.39,38800.00,2772709.75,91.00
12/4/2007,71.32,71.39,71.69,71.27,1.00,71.55,32500.00,2321797.00,81.00
11/4/2007,71.50,71.55,71.88,71.25,1.00,71.50,40900.00,2926356.00,167.00
10/4/2007,71.96,71.50,71.97,71.45,0.99,71.98,36500.00,2615488.75,93.00
9/4/2007,72.48,71.98,73.66,71.98,1.00,71.98,27100.00,1965202.50,130.00
5/4/2007,71.98,71.98,72.96,71.98,1.00,72.03,16600.00,1202355.63,103.00
4/4/2007,71.98,72.03,72.58,71.74,1.00,72.03,46700.00,3372682.50,117.00
3/4/2007,71.50,72.03,72.08,71.39,1.01,71.48,106200.00,7635560.50,207.00
2/4/2007,71.62,71.48,71.79,71.00,1.00,71.63,30400.00,2170030.25,109.00
30/3/2007,71.98,71.63,71.98,70.51,1.00,71.29,86500.00,6183791.00,175.00
29/3/2007,70.95,71.29,71.48,70.50,1.00,71.29,40900.00,2906186.00,153.00
28/3/2007,71.40,71.29,71.64,70.80,1.00,71.39,53400.00,3788766.00,142.00
27/3/2007,71.50,71.39,71.79,71.00,1.00,71.49,15500.00,1107697.25,74.00
26/3/2007,71.00,71.49,71.59,71.00,1.01,70.50,38900.00,2776546.50,130.00
23/3/2007,71.00,70.50,71.29,70.50,0.99,71.31,9500.00,674871.19,59.00
22/3/2007,70.41,71.31,71.31,69.04,1.02,70.16,48400.00,3410986.75,140.00
21/3/2007,70.01,70.16,70.46,69.43,1.01,69.73,57400.00,4032159.00,224.00
20/3/2007,68.53,69.73,69.75,68.53,1.02,68.34,34000.00,2356291.00,86.00
19/3/2007,67.55,68.34,68.73,67.55,1.01,67.54,45600.00,3113017.25,218.00
16/3/2007,64.89,67.54,67.54,64.89,1.02,66.07,59800.00,4016038.75,192.00
15/3/2007,66.36,66.07,67.05,64.10,1.00,66.36,64200.00,4251005.00,313.00
14/3/2007,66.12,66.36,67.05,64.60,1.00,66.65,54900.00,3631829.25,200.00
13/3/2007,65.88,66.65,67.35,65.83,1.00,66.86,95300.00,6364843.50,351.00
12/3/2007,65.08,66.86,67.45,64.88,1.02,65.23,71800.00,4793082.00,90.00
9/3/2007,64.98,65.23,66.07,64.88,1.01,64.88,40500.00,2645911.25,149.00
8/3/2007,64.09,64.88,64.88,64.09,1.02,63.90,46300.00,2988108.00,88.00
7/3/2007,63.11,63.90,63.91,63.11,1.00,63.60,133300.00,8484185.00,180.00
6/3/2007,60.65,63.60,63.60,60.65,1.05,60.35,38700.00,2418122.75,140.00
5/3/2007,60.30,60.35,62.10,59.29,1.00,60.64,38900.00,2340328.25,141.00
2/3/2007,61.04,60.64,61.33,60.40,0.98,61.74,76900.00,4682454.50,326.00
1/3/2007,62.12,61.74,62.92,61.20,0.98,63.11,84000.00,5185942.50,154.00
28/2/2007,62.62,63.11,63.60,61.63,1.01,62.22,79200.00,4933630.50,289.00
27/2/2007,64.09,62.22,64.09,61.24,0.96,64.48,78700.00,4927773.00,371.00
26/2/2007,63.60,64.48,64.52,63.41,1.01,63.69,25100.00,1601357.38,118.00
23/2/2007,63.31,63.69,63.90,62.96,1.00,63.55,25900.00,1639662.38,115.00
22/2/2007,64.09,63.55,64.59,62.81,1.00,63.60,52000.00,3329487.50,138.00
21/2/2007,62.13,63.60,63.71,62.12,1.05,60.36,76300.00,4826667.00,115.00
16/2/2007,59.41,60.36,60.59,59.41,1.02,59.41,55300.00,3313452.00,83.00
15/2/2007,59.12,59.41,59.41,58.21,1.02,58.53,52100.00,3080826.75,99.00
14/2/2007,57.78,58.53,59.16,57.57,1.01,57.69,199000.00,11682485.00,748.00
13/2/2007,56.39,57.69,58.07,56.39,1.02,56.53,22500.00,1285811.13,132.00
12/2/2007,56.50,56.53,57.19,56.30,1.00,56.50,17600.00,995153.50,97.00
9/2/2007,56.71,56.50,57.69,56.50,0.98,57.49,41100.00,2336555.75,126.00
