Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
8/10/2007,71.34,72.19,72.19,70.65,1.01,71.37,1874300.00,133818192.00,1566.00
5/10/2007,69.51,71.37,71.84,69.51,1.04,68.72,1508100.00,106476688.00,1803.00
4/10/2007,68.52,68.72,69.44,66.47,1.01,68.08,1119700.00,76685152.00,1255.00
3/10/2007,69.66,68.08,70.56,68.08,0.97,70.27,2592700.00,180660112.00,2363.00
2/10/2007,70.49,70.27,70.90,69.03,1.00,69.97,1668700.00,116699384.00,1263.00
1/10/2007,68.72,69.97,70.51,68.72,1.02,68.82,2038600.00,142456032.00,3567.00
28/9/2007,70.01,68.82,70.34,68.30,0.98,70.29,1461700.00,100884872.00,1108.00
27/9/2007,69.51,70.29,70.29,68.92,1.02,68.85,2629800.00,183751360.00,1694.00
26/9/2007,68.52,68.85,69.51,67.63,1.01,68.32,1644100.00,113024832.00,1349.00
25/9/2007,69.16,68.32,69.16,67.93,0.98,69.51,1925600.00,131670560.00,1636.00
24/9/2007,68.44,69.51,69.56,68.10,1.02,68.07,2646300.00,182950688.00,1612.00
21/9/2007,66.53,68.07,68.07,66.53,1.04,65.55,2165300.00,146081392.00,1526.00
20/9/2007,66.53,65.55,66.55,65.26,1.00,65.84,1420300.00,93679696.00,1163.00
19/9/2007,66.55,65.84,67.36,65.60,1.00,65.54,1274100.00,84613768.00,1572.00
18/9/2007,63.77,65.54,66.45,63.56,1.04,63.04,1456100.00,94627560.00,1448.00
17/9/2007,62.86,63.04,63.46,61.89,1.00,62.81,1174500.00,73851528.00,984.00
14/9/2007,63.07,62.81,64.66,62.74,0.98,64.10,962800.00,61447024.00,618.00
13/9/2007,63.61,64.10,65.04,63.61,1.01,63.36,1011100.00,65120960.00,775.00
12/9/2007,62.86,63.36,64.72,62.86,1.00,63.17,1368300.00,87565576.00,1038.00
11/9/2007,62.08,63.17,63.73,61.82,1.03,61.28,1358000.00,85443624.00,1089.00
10/9/2007,62.07,61.28,62.37,60.92,0.98,62.76,1535000.00,95039656.00,1592.00
6/9/2007,62.27,62.76,63.60,62.27,1.02,61.82,1158100.00,73131104.00,1035.00
5/9/2007,61.08,61.82,62.22,61.07,1.00,62.07,1491800.00,92106536.00,1191.00
4/9/2007,60.87,62.07,62.72,60.58,1.02,60.87,1375900.00,85460104.00,1135.00
3/9/2007,60.58,60.87,61.52,60.49,1.00,60.58,230800.00,14077743.00,288.00
31/8/2007,59.44,60.58,61.42,59.19,1.04,58.10,2433500.00,147073872.00,2921.00
30/8/2007,57.30,58.10,58.76,56.18,1.01,57.30,1670600.00,96778000.00,1477.00
29/8/2007,56.80,57.30,57.75,56.80,1.01,56.55,1971700.00,113020992.00,2463.00
28/8/2007,56.81,56.55,57.49,56.31,0.98,57.60,1348300.00,76589552.00,1174.00
27/8/2007,57.50,57.60,58.17,56.81,1.00,57.74,1075800.00,61787072.00,863.00
24/8/2007,56.80,57.74,57.78,56.17,1.01,56.95,1774600.00,101720112.00,1987.00
23/8/2007,56.60,56.95,57.99,55.91,1.01,56.56,2088300.00,118277384.00,1884.00
22/8/2007,55.11,56.56,57.29,54.82,1.04,54.14,2716400.00,152452288.00,2663.00
21/8/2007,54.12,54.14,54.67,53.35,1.00,54.02,1385300.00,74766120.00,1364.00
20/8/2007,54.52,54.02,55.04,53.12,1.01,53.39,2314800.00,124954008.00,1882.00
17/8/2007,55.79,53.39,56.09,52.63,0.97,54.81,3820400.00,206526432.00,3578.00
16/8/2007,54.00,54.81,54.82,50.96,0.99,55.61,4378200.00,233399904.00,4716.00
15/8/2007,56.59,55.61,58.18,55.09,0.98,56.97,2509100.00,141843008.00,3357.00
14/8/2007,57.23,56.97,58.92,56.68,1.00,57.22,1974900.00,114843496.00,1725.00
13/8/2007,57.91,57.22,58.74,56.68,1.00,57.03,1798000.00,104153632.00,1981.00
10/8/2007,57.07,57.03,58.76,56.67,0.98,58.05,2391200.00,136911376.00,2267.00
9/8/2007,58.54,58.05,59.32,57.85,0.96,60.18,1517000.00,89083864.00,1400.00
8/8/2007,58.65,60.18,60.96,58.65,1.03,58.34,1640200.00,98637856.00,1522.00
7/8/2007,57.61,58.34,59.51,57.17,1.01,57.86,2391400.00,139079072.00,2516.00
6/8/2007,57.14,57.86,58.26,55.79,1.01,57.51,1665600.00,94849728.00,1898.00
3/8/2007,59.52,57.51,60.02,57.18,0.96,59.72,1706200.00,100069528.00,1580.00
2/8/2007,59.70,59.72,60.51,58.96,1.01,59.24,850600.00,50717556.00,900.00
1/8/2007,59.52,59.24,60.30,58.19,0.99,60.03,1970400.00,116629168.00,2673.00
31/7/2007,61.61,60.03,62.76,60.03,0.98,60.99,1470300.00,90285480.00,1260.00
30/7/2007,59.15,60.99,61.46,59.00,1.05,57.98,1088300.00,65443588.00,1223.00
27/7/2007,60.02,57.98,61.67,57.98,0.97,60.05,1180500.00,70981536.00,1533.00
26/7/2007,61.10,60.05,61.99,58.77,0.96,62.78,2062700.00,124779848.00,1965.00
25/7/2007,62.37,62.78,63.33,60.02,1.02,61.65,2359000.00,146223344.00,2508.00
24/7/2007,64.26,61.65,64.55,60.83,0.95,65.13,1611100.00,101302416.00,1267.00
23/7/2007,63.84,65.13,65.13,63.37,1.02,63.69,1372500.00,88379832.00,995.00
20/7/2007,64.35,63.69,64.35,63.22,0.99,64.30,953600.00,60848092.00,884.00
19/7/2007,63.95,64.30,64.64,63.95,1.01,63.57,1048100.00,67282840.00,1060.00
18/7/2007,63.27,63.57,63.70,62.98,1.00,63.36,1009300.00,63954760.00,882.00
17/7/2007,62.57,63.36,63.73,62.57,1.01,62.67,1200800.00,76127336.00,1008.00
16/7/2007,63.46,62.67,63.46,62.14,0.99,63.30,1318900.00,83138240.00,951.00
13/7/2007,62.26,63.30,63.95,61.99,1.01,62.67,1157700.00,73292744.00,1041.00
12/7/2007,61.69,62.67,62.96,61.17,1.03,61.05,1309900.00,81480896.00,1040.00
11/7/2007,60.86,61.05,61.61,60.26,1.01,60.70,991800.00,60622804.00,1095.00
10/7/2007,62.16,60.70,62.27,60.32,0.98,61.84,2317400.00,141246640.00,1649.00
6/7/2007,61.21,61.84,62.16,61.14,1.01,61.20,1091300.00,67422344.00,958.00
5/7/2007,60.08,61.20,61.39,60.02,1.01,60.36,1572300.00,95908280.00,1360.00
4/7/2007,60.22,60.36,61.09,59.92,1.00,60.41,461500.00,27983746.00,575.00
3/7/2007,58.84,60.41,60.51,58.84,1.02,59.19,668400.00,40096776.00,621.00
2/7/2007,58.54,59.19,59.24,57.78,1.02,57.83,958800.00,56025728.00,751.00
29/6/2007,57.62,57.83,58.59,57.21,1.01,57.21,1200900.00,69524088.00,941.00
28/6/2007,57.42,57.21,58.11,57.07,1.00,57.41,1688700.00,97421568.00,1069.00
27/6/2007,56.78,57.41,57.77,56.49,1.00,57.15,699500.00,39942304.00,636.00
26/6/2007,57.81,57.15,58.15,56.82,0.99,57.67,1230200.00,70478832.00,978.00
25/6/2007,57.64,57.67,58.29,56.73,1.00,57.73,3040800.00,175277184.00,1468.00
22/6/2007,57.55,57.73,58.05,57.22,1.00,57.56,1115000.00,64359188.00,968.00
21/6/2007,57.32,57.56,58.18,57.16,1.01,57.16,1462700.00,84441168.00,1259.00
20/6/2007,57.88,57.16,58.27,57.07,0.99,57.81,1439600.00,82727560.00,1020.00
19/6/2007,57.06,57.81,58.27,56.87,1.01,57.26,1286200.00,74156064.00,1220.00
18/6/2007,57.56,57.26,57.56,56.99,1.01,56.87,1791000.00,102418832.00,1544.00
15/6/2007,56.31,56.87,57.33,56.31,1.01,56.05,1596700.00,90855672.00,1272.00
14/6/2007,55.04,56.05,56.08,55.04,1.02,54.98,1542700.00,85926928.00,1351.00
13/6/2007,53.62,54.98,55.09,53.62,1.03,53.62,2369700.00,129318656.00,2100.00
12/6/2007,53.35,53.62,54.21,53.13,1.00,53.61,1759300.00,94201792.00,1238.00
11/6/2007,52.93,53.61,53.75,52.61,1.02,52.50,1340300.00,71591032.00,915.00
8/6/2007,51.67,52.50,53.12,51.36,1.01,52.23,1679300.00,87949088.00,1632.00
6/6/2007,53.13,52.23,53.13,52.23,0.98,53.53,1343200.00,70778976.00,997.00
5/6/2007,52.93,53.53,53.79,52.74,1.01,53.03,1235000.00,65911556.00,856.00
4/6/2007,51.69,53.03,53.03,51.66,1.01,52.33,1453700.00,76298984.00,1201.00
1/6/2007,51.66,52.33,52.33,51.41,1.03,50.92,715600.00,37139084.00,690.00
31/5/2007,52.09,50.92,52.14,50.92,0.98,51.85,1234300.00,63477632.00,858.00
30/5/2007,50.48,51.85,51.85,50.08,1.02,50.94,2027900.00,103805040.00,1646.00
29/5/2007,51.95,50.94,52.24,50.94,0.98,51.96,1352700.00,69488200.00,1079.00
28/5/2007,51.98,51.96,52.14,51.46,1.01,51.66,572900.00,29642426.00,365.00
25/5/2007,51.67,51.66,52.01,51.02,1.01,51.29,978600.00,50364808.00,875.00
24/5/2007,52.44,51.29,53.24,50.98,0.98,52.54,1416900.00,73695872.00,1504.00
23/5/2007,52.14,52.54,52.88,52.14,1.01,52.10,1366800.00,71846216.00,1388.00
22/5/2007,52.00,52.10,52.26,51.80,1.00,52.03,1305500.00,67966936.00,989.00
21/5/2007,51.78,52.03,52.58,51.56,1.01,51.66,1203200.00,62539904.00,819.00
18/5/2007,51.36,51.66,51.95,51.01,1.01,51.22,1097300.00,56604924.00,1252.00
17/5/2007,51.16,51.22,51.85,50.70,1.00,51.25,1283100.00,65856272.00,1001.00
16/5/2007,50.35,51.25,51.31,49.96,1.03,49.98,1492500.00,75570912.00,1564.00
15/5/2007,50.24,49.98,50.67,49.63,1.00,50.03,1043800.00,52527492.00,685.00
14/5/2007,49.63,50.03,50.80,49.49,0.99,50.44,1143700.00,57572320.00,921.00
11/5/2007,50.08,50.44,50.85,49.66,1.02,49.49,1228100.00,61953148.00,1055.00
10/5/2007,50.36,49.49,50.38,49.22,0.99,50.19,1325200.00,65669480.00,1042.00
9/5/2007,50.18,50.19,50.48,49.67,1.00,50.16,1526300.00,76477456.00,1063.00
8/5/2007,49.86,50.16,50.55,49.13,1.01,49.88,1925100.00,95819208.00,1322.00
7/5/2007,50.95,49.88,50.95,49.78,0.98,50.96,689100.00,34590580.00,575.00
4/5/2007,51.51,50.96,51.84,50.72,0.99,51.57,1863400.00,95895000.00,820.00
3/5/2007,50.88,51.57,51.57,50.76,1.02,50.67,1245500.00,63731808.00,1119.00
2/5/2007,51.15,50.67,51.15,50.44,1.01,50.38,1563400.00,79332584.00,1304.00
30/4/2007,52.00,51.20,52.68,51.20,0.98,52.00,1416700.00,73586176.00,960.00
27/4/2007,52.10,52.00,52.30,51.50,0.99,52.40,1175900.00,61075488.00,842.00
26/4/2007,53.30,52.40,53.60,52.40,0.98,53.30,1165200.00,61486576.00,836.00
25/4/2007,52.36,53.30,53.68,52.20,1.02,52.10,929600.00,49316728.00,921.00
24/4/2007,52.40,52.10,52.49,51.65,0.99,52.41,1042500.00,54269536.00,806.00
23/4/2007,53.02,52.41,53.02,52.05,1.00,52.50,983400.00,51641244.00,714.00
20/4/2007,53.17,52.50,53.17,52.04,1.00,52.28,753700.00,39587480.00,757.00
19/4/2007,52.70,52.28,52.70,51.05,0.99,53.00,1379000.00,71999272.00,1053.00
18/4/2007,53.37,53.00,53.67,52.97,0.99,53.70,1154400.00,61570408.00,1322.00
17/4/2007,54.41,53.70,54.85,53.30,0.99,54.49,877100.00,47288412.00,786.00
16/4/2007,53.98,54.49,54.84,53.86,1.02,53.60,1011500.00,54967944.00,912.00
13/4/2007,53.05,53.60,53.80,52.86,1.01,52.90,1162300.00,62101640.00,1013.00
12/4/2007,51.54,52.90,53.07,51.54,1.02,51.90,1437000.00,75619592.00,1276.00
11/4/2007,52.50,51.90,53.00,51.85,0.99,52.50,1062800.00,55524356.00,790.00
10/4/2007,51.60,52.50,52.57,51.53,1.01,51.80,1582000.00,82562944.00,1070.00
9/4/2007,51.80,51.80,52.66,51.71,1.00,51.90,1283300.00,67037480.00,982.00
5/4/2007,51.20,51.90,52.21,51.11,1.01,51.53,1059700.00,54855848.00,1049.00
