Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
6/8/2007,50.95,50.54,50.95,48.80,0.08,50.50,9371400.00,466056384.00,8271.00
3/8/2007,52.70,50.50,52.80,50.20,-4.27,52.75,8682800.00,446457728.00,7544.00
2/8/2007,53.02,52.75,53.20,52.20,0.71,52.38,4662500.00,245449808.00,4407.00
1/8/2007,52.29,52.38,52.83,51.26,-0.63,52.71,11272700.00,587554432.00,7841.00
31/7/2007,54.33,52.71,54.75,52.71,-1.27,53.39,8917700.00,481234560.00,6126.00
30/7/2007,51.61,53.39,53.48,51.42,4.56,51.06,8763300.00,458678720.00,6616.00
27/7/2007,52.00,51.06,53.49,51.06,-2.74,52.50,8766400.00,459636224.00,7220.00
26/7/2007,53.75,52.50,54.29,51.15,-4.63,55.05,13314300.00,704038784.00,10150.00
25/7/2007,54.94,55.05,55.35,52.70,1.44,54.27,12142400.00,659831424.00,9870.00
24/7/2007,56.80,54.27,57.10,53.50,-5.62,57.50,10473300.00,581756032.00,8306.00
23/7/2007,56.76,57.50,57.50,56.20,1.63,56.58,5462400.00,310615712.00,4156.00
20/7/2007,57.00,56.58,57.00,56.00,-0.68,56.97,4612600.00,260645952.00,4141.00
19/7/2007,56.80,56.97,57.14,56.60,1.44,56.16,4740400.00,269755552.00,4101.00
18/7/2007,55.80,56.16,56.48,55.73,-0.25,56.30,6407800.00,359364576.00,3801.00
17/7/2007,55.10,56.30,56.31,55.00,1.79,55.31,7665200.00,428700800.00,4814.00
16/7/2007,55.84,55.31,55.84,54.80,-0.95,55.84,8864400.00,491436576.00,4949.00
13/7/2007,55.25,55.84,56.49,55.00,0.61,55.50,9558700.00,534045504.00,6720.00
12/7/2007,54.65,55.50,55.65,54.35,2.27,54.27,8213700.00,450470368.00,5642.00
11/7/2007,53.98,54.27,54.48,53.60,0.78,53.85,6924200.00,374441824.00,4595.00
10/7/2007,54.75,53.85,54.98,53.61,-1.63,54.74,9405800.00,510784384.00,5149.00
6/7/2007,54.36,54.74,54.84,54.36,0.92,54.24,6393100.00,349117088.00,4090.00
5/7/2007,53.73,54.24,54.38,53.73,0.54,53.95,8175600.00,442045248.00,4940.00
4/7/2007,53.75,53.95,54.40,53.53,0.47,53.70,4127500.00,222766992.00,3755.00
3/7/2007,52.90,53.70,53.78,52.90,1.70,52.80,7011700.00,374282080.00,5109.00
2/7/2007,51.80,52.80,52.80,51.61,2.25,51.64,6375100.00,331850816.00,5324.00
29/6/2007,51.49,51.64,52.05,51.01,0.86,51.20,6878300.00,354967104.00,5183.00
28/6/2007,51.30,51.20,51.78,51.05,-0.02,51.21,6629000.00,341046688.00,4370.00
27/6/2007,50.50,51.21,51.28,50.30,0.99,50.71,7527400.00,382388704.00,4459.00
26/6/2007,51.28,50.71,51.50,50.65,-0.96,51.20,5822700.00,297254784.00,3962.00
25/6/2007,51.28,51.20,51.60,50.30,-0.21,51.31,9175700.00,468428736.00,5233.00
22/6/2007,51.31,51.31,51.50,50.90,0.02,51.30,6104900.00,312711488.00,3552.00
21/6/2007,51.00,51.30,51.60,50.80,1.00,50.79,7241900.00,371380160.00,4696.00
20/6/2007,51.89,50.79,52.10,50.79,-1.65,51.64,12214900.00,626875776.00,6560.00
19/6/2007,50.79,51.64,51.95,50.68,1.33,50.96,7303800.00,375724256.00,5258.00
18/6/2007,50.99,50.96,51.19,50.65,0.41,50.75,12623200.00,642901184.00,7049.00
15/6/2007,50.60,50.75,51.00,50.25,1.50,50.00,15011100.00,760582080.00,9185.00
14/6/2007,49.48,50.00,50.18,49.30,1.67,49.18,15854300.00,791214144.00,10331.00
13/6/2007,48.49,49.18,49.50,48.30,2.20,48.12,15489000.00,757501632.00,8047.00
12/6/2007,47.89,48.12,48.75,47.60,0.25,48.00,13288600.00,640787776.00,7662.00
11/6/2007,47.70,48.00,48.20,47.30,1.27,47.40,9971100.00,477637248.00,6228.00
8/6/2007,46.30,47.40,47.70,46.25,1.04,46.91,7610600.00,356910432.00,6211.00
6/6/2007,47.70,46.91,47.78,46.91,-2.25,47.99,7435700.00,351747008.00,5068.00
5/6/2007,47.58,47.99,48.29,47.50,0.65,47.68,10261500.00,491353920.00,6150.00
4/6/2007,46.65,47.68,47.80,46.50,1.23,47.10,10683300.00,505466688.00,6796.00
1/6/2007,46.50,47.10,47.17,46.26,2.53,45.94,7748600.00,362257728.00,5101.00
31/5/2007,46.80,45.94,46.98,45.94,-1.63,46.70,7893600.00,365932960.00,4459.00
30/5/2007,45.30,46.70,46.70,45.10,1.41,46.05,9058600.00,416465664.00,6941.00
29/5/2007,47.00,46.05,47.16,46.00,-1.71,46.85,8092200.00,376135104.00,5099.00
28/5/2007,46.71,46.85,47.11,46.60,0.32,46.70,2870400.00,134655776.00,2207.00
25/5/2007,46.55,46.70,46.87,46.20,1.28,46.11,5869300.00,272981728.00,4202.00
24/5/2007,47.16,46.11,47.79,45.80,-2.31,47.20,11892100.00,557351296.00,7395.00
23/5/2007,47.10,47.20,47.70,46.95,0.64,46.90,12102300.00,573640768.00,7893.00
22/5/2007,46.93,46.90,47.12,46.60,-0.11,46.95,7000300.00,328082176.00,4701.00
21/5/2007,46.64,47.10,47.28,46.17,1.29,46.50,13325700.00,624823680.00,8528.00
18/5/2007,46.36,46.50,46.60,45.86,0.98,46.05,10086900.00,467275680.00,7500.00
17/5/2007,46.17,46.05,46.60,45.71,0.11,46.00,11657800.00,537835520.00,7610.00
16/5/2007,45.20,46.00,46.19,44.93,1.95,45.12,9847700.00,448102784.00,6710.00
15/5/2007,45.38,45.12,45.55,44.90,-0.51,45.35,8162300.00,369266304.00,4360.00
14/5/2007,44.55,45.35,45.61,44.55,0.27,45.23,10035800.00,453406816.00,5197.00
11/5/2007,44.80,45.23,45.80,44.61,1.96,44.36,8084900.00,366538912.00,5695.00
10/5/2007,45.30,44.36,45.50,44.28,-1.84,45.19,10688400.00,478315648.00,7141.00
9/5/2007,45.30,45.19,45.50,44.70,0.20,45.10,10603300.00,478125408.00,7931.00
8/5/2007,44.88,45.10,45.50,44.15,0.18,45.02,12493900.00,558324352.00,9760.00
7/5/2007,45.90,45.02,45.90,45.00,-2.17,46.02,7613900.00,344984064.00,6561.00
4/5/2007,46.55,46.02,46.85,45.81,-0.39,46.20,7939500.00,368112064.00,5688.00
3/5/2007,45.86,46.20,46.46,45.71,1.29,45.61,8979900.00,414411872.00,6173.00
2/5/2007,45.80,45.61,45.80,45.26,0.91,45.20,8963400.00,408089376.00,5618.00
30/4/2007,46.25,45.20,46.60,45.20,-1.95,46.10,6722500.00,308455296.00,3640.00
27/4/2007,46.10,46.10,46.29,45.58,-0.73,46.44,8315600.00,382471456.00,5576.00
26/4/2007,47.80,46.44,47.90,46.44,-2.23,47.50,8245000.00,387533920.00,4942.00
25/4/2007,46.95,47.50,47.94,46.49,2.11,46.52,9092800.00,430755744.00,6548.00
24/4/2007,46.70,46.52,46.75,45.87,-0.24,46.63,7135600.00,330159776.00,5739.00
23/4/2007,47.10,46.63,47.10,46.53,-0.79,47.00,5185600.00,242590944.00,3586.00
20/4/2007,47.40,47.00,47.40,46.35,0.97,46.55,9987700.00,467811136.00,5891.00
19/4/2007,46.51,46.55,46.83,46.30,-1.54,47.28,9069500.00,422191808.00,6083.00
18/4/2007,47.50,47.28,47.99,47.25,-0.98,47.75,10205500.00,485783264.00,6195.00
17/4/2007,48.75,47.75,49.00,47.51,-1.85,48.65,9438600.00,453980256.00,6955.00
16/4/2007,48.01,48.65,48.79,48.01,1.97,47.71,11701700.00,566346176.00,6883.00
13/4/2007,47.00,47.71,48.01,46.86,2.16,46.70,13290900.00,631057024.00,9097.00
12/4/2007,45.95,46.70,46.94,45.85,1.32,46.09,8600400.00,400622944.00,5944.00
11/4/2007,46.86,46.09,47.19,45.80,-1.41,46.75,8537700.00,396946912.00,6750.00
10/4/2007,46.08,46.75,46.75,45.80,1.50,46.06,8869000.00,410973696.00,5453.00
9/4/2007,46.50,46.06,46.85,46.06,-0.30,46.20,10145100.00,471030720.00,6224.00
5/4/2007,45.87,46.20,46.47,45.71,0.43,46.00,6261600.00,288930624.00,4774.00
4/4/2007,45.40,46.00,46.18,44.98,1.28,45.42,10763800.00,491065120.00,6740.00
3/4/2007,46.00,45.42,46.15,45.22,-0.50,45.65,10621500.00,484263968.00,6781.00
2/4/2007,45.99,46.02,46.24,45.70,-0.26,46.14,6269900.00,288012000.00,4928.00
30/3/2007,46.31,46.14,46.80,45.60,0.09,46.10,13311100.00,614309056.00,8456.00
29/3/2007,44.50,46.10,46.49,44.50,4.77,44.00,22047200.00,1002903424.00,13440.00
28/3/2007,44.29,44.00,44.77,44.00,-0.36,44.16,8975700.00,398378528.00,5673.00
27/3/2007,44.52,44.16,44.69,44.02,-0.99,44.60,5523000.00,244768032.00,4135.00
26/3/2007,44.35,44.60,44.72,43.83,1.18,44.08,7190600.00,318462944.00,5995.00
23/3/2007,44.15,44.08,44.49,43.65,0.41,43.90,5929100.00,261730416.00,4635.00
22/3/2007,43.61,43.90,44.45,43.61,1.39,43.30,9355900.00,411566304.00,7894.00
21/3/2007,42.10,43.30,43.40,42.10,2.92,42.07,11371100.00,486458304.00,6994.00
20/3/2007,41.20,41.88,42.07,41.13,1.90,41.10,8161800.00,340768320.00,6266.00
19/3/2007,40.60,41.10,41.24,40.57,2.19,40.22,6917100.00,283329504.00,4863.00
16/3/2007,40.89,40.22,41.58,40.22,-1.78,40.95,7590200.00,310154880.00,5698.00
15/3/2007,41.22,40.95,41.49,40.70,-0.97,41.35,9185500.00,377313792.00,5706.00
14/3/2007,41.00,41.35,41.50,40.25,0.29,41.23,9679000.00,397060256.00,6685.00
13/3/2007,41.55,41.23,42.09,41.10,-1.60,41.90,10929900.00,454727552.00,7036.00
12/3/2007,42.10,41.90,42.40,41.83,-1.43,42.51,5996700.00,252123248.00,5254.00
9/3/2007,42.70,42.51,43.00,42.00,0.38,42.35,7304100.00,310172992.00,5071.00
8/3/2007,42.05,42.35,42.50,41.90,2.67,41.25,8063300.00,340336672.00,5539.00
7/3/2007,41.89,41.25,42.40,41.20,-1.08,41.70,11722100.00,491383488.00,6132.00
6/3/2007,41.47,41.70,41.94,41.10,3.81,40.17,8742900.00,363427968.00,7171.00
5/3/2007,40.06,40.17,40.65,39.71,-2.17,41.06,9859300.00,396710272.00,8883.00
2/3/2007,41.98,41.06,42.30,41.02,-3.05,42.35,11981600.00,497715200.00,6754.00
1/3/2007,42.15,42.35,42.65,40.90,-1.24,42.88,15077300.00,629881088.00,9446.00
28/2/2007,43.00,42.88,43.50,42.52,0.66,42.60,11559700.00,497148320.00,8812.00
27/2/2007,43.70,42.60,44.25,42.50,-6.60,45.61,13902400.00,606111872.00,10562.00
26/2/2007,45.91,45.61,45.99,45.45,0.40,45.43,7412900.00,338839168.00,4965.00
23/2/2007,45.30,45.43,45.88,45.29,0.84,45.05,10076600.00,459584256.00,6522.00
22/2/2007,44.70,45.05,45.20,44.45,1.69,44.30,8723200.00,391737792.00,7069.00
21/2/2007,43.99,44.30,44.30,43.60,-0.07,44.33,6266100.00,275194880.00,4732.00
16/2/2007,44.24,44.33,44.49,43.81,0.20,44.24,5185200.00,228991056.00,5231.00
