Data e Hora,Abertura,Fechamento,Máximo,Mínimo,Variação,Anterior,Montante,Vol($),Quantidade
8/10/2007,50.34,51.29,51.57,49.80,1.00,51.18,9164100.00,464671136.00,9536.00
5/10/2007,50.60,51.18,52.14,50.21,1.04,49.12,12732800.00,650717952.00,11384.00
4/10/2007,50.98,49.12,51.55,49.12,0.97,50.50,22737200.00,1138568704.00,21117.00
3/10/2007,53.69,50.50,54.25,50.50,0.92,54.75,28650300.00,1486163328.00,29499.00
2/10/2007,55.35,54.75,56.69,53.76,0.98,55.60,21732200.00,1191281792.00,19614.00
1/10/2007,52.71,55.60,55.60,52.71,1.07,52.20,17105900.00,929173312.00,13570.00
28/9/2007,52.70,52.20,53.79,51.81,0.98,53.00,16792100.00,884419264.00,14032.00
27/9/2007,51.30,53.00,53.00,50.70,1.04,50.80,17006200.00,879258432.00,10877.00
26/9/2007,50.63,50.80,51.05,49.90,1.02,49.92,13544000.00,685266176.00,9594.00
25/9/2007,48.88,49.92,50.00,48.50,1.00,49.74,15283400.00,755983744.00,11655.00
24/9/2007,48.05,49.50,49.74,47.83,1.05,47.25,13951300.00,681835264.00,9864.00
21/9/2007,47.50,47.25,47.70,46.99,1.01,46.99,7066000.00,334227776.00,5743.00
20/9/2007,47.19,46.99,47.25,46.20,1.00,46.89,11480100.00,537127488.00,8715.00
19/9/2007,48.00,46.89,48.67,46.10,1.00,46.80,20821100.00,981939648.00,17231.00
18/9/2007,44.31,46.80,47.00,44.31,1.07,43.90,16458300.00,752613184.00,10213.00
17/9/2007,43.50,43.90,43.98,42.70,1.01,43.60,12545900.00,546147584.00,6932.00
14/9/2007,43.75,43.60,44.45,43.20,0.99,44.16,12055000.00,530838368.00,9018.00
13/9/2007,43.70,44.16,44.20,43.30,1.03,42.80,10880800.00,477782656.00,9737.00
12/9/2007,42.58,42.80,43.44,42.27,1.00,42.73,11081500.00,477667680.00,7527.00
11/9/2007,42.15,42.73,42.88,42.01,1.03,41.50,11345500.00,482425888.00,8593.00
10/9/2007,41.95,41.50,42.49,40.81,0.97,42.90,14897200.00,619171904.00,13894.00
6/9/2007,41.89,42.90,42.90,41.58,1.03,41.45,13162900.00,556584384.00,8776.00
5/9/2007,41.30,41.45,41.98,41.06,0.99,42.04,9214000.00,382311104.00,8252.00
4/9/2007,40.99,42.04,42.30,40.70,1.02,41.20,11494200.00,478347744.00,10466.00
3/9/2007,40.91,41.20,41.30,40.74,1.01,40.60,4511200.00,185221968.00,5591.00
31/8/2007,40.73,40.60,40.97,40.30,1.02,39.65,11715400.00,476979008.00,7319.00
30/8/2007,39.35,39.65,40.50,39.05,1.00,39.58,15027800.00,601948160.00,8315.00
29/8/2007,38.51,39.58,39.73,38.26,1.04,38.00,12537000.00,491720544.00,7944.00
28/8/2007,39.20,38.00,39.22,37.83,0.96,39.70,14338600.00,554505664.00,9681.00
27/8/2007,38.80,39.70,39.99,38.66,1.02,39.08,10250800.00,402310592.00,6628.00
24/8/2007,37.50,39.08,39.15,37.40,1.03,37.95,13409000.00,515667936.00,8358.00
23/8/2007,37.35,37.95,38.10,36.92,1.02,37.18,16444800.00,618878208.00,8766.00
22/8/2007,36.20,37.18,37.20,35.90,1.05,35.25,21741000.00,796902976.00,11085.00
21/8/2007,34.50,35.25,35.44,34.06,1.03,34.35,10093600.00,352090240.00,6176.00
20/8/2007,34.75,34.35,35.03,34.08,1.01,34.00,15760400.00,545171072.00,8538.00
17/8/2007,34.93,34.24,35.00,32.79,1.03,33.40,16963600.00,575376256.00,8236.00
16/8/2007,32.30,33.40,33.40,30.26,0.99,33.66,32407600.00,1040839424.00,15564.00
15/8/2007,35.03,33.66,35.45,33.66,0.95,35.50,28453200.00,986034624.00,11865.00
14/8/2007,37.61,35.50,37.61,35.50,0.95,37.35,13031800.00,474209792.00,8790.00
13/8/2007,38.00,37.35,38.20,37.05,1.00,37.26,13341400.00,502643488.00,6399.00
10/8/2007,37.35,37.26,37.69,36.75,0.97,38.51,15099600.00,562549056.00,8735.00
9/8/2007,38.70,38.51,39.45,38.40,0.96,40.08,13443200.00,521576768.00,7037.00
8/8/2007,39.50,40.08,40.15,39.43,1.03,39.00,13827800.00,550751936.00,6839.00
7/8/2007,37.89,39.00,39.30,37.55,1.03,38.00,13038800.00,500245312.00,6818.00
6/8/2007,38.25,38.00,38.38,36.15,1.00,38.00,18975200.00,705584384.00,9583.00
3/8/2007,39.75,38.00,39.75,37.98,0.95,39.85,13868200.00,537061824.00,7935.00
2/8/2007,40.17,39.85,40.24,39.11,1.01,39.55,10702200.00,423417760.00,5456.00
1/8/2007,39.69,39.55,40.10,38.85,1.00,39.60,17390400.00,684482752.00,7699.00
31/7/2007,40.26,39.60,40.55,39.55,1.01,39.35,13380800.00,536300224.00,6574.00
30/7/2007,38.55,39.35,39.50,38.55,1.04,37.88,10613000.00,415054624.00,5993.00
27/7/2007,38.25,37.88,39.33,37.88,0.99,38.43,15091600.00,584552704.00,6814.00
26/7/2007,38.70,38.43,39.10,37.27,0.96,39.91,16685600.00,640164352.00,9691.00
25/7/2007,41.00,39.91,41.15,38.89,0.99,40.45,13140400.00,523933248.00,7770.00
24/7/2007,41.40,40.45,41.60,39.82,0.97,41.75,9061800.00,372098976.00,4230.00
23/7/2007,40.65,41.75,41.75,40.57,1.03,40.65,7447800.00,307413120.00,3781.00
20/7/2007,41.01,40.65,41.30,40.55,0.99,41.06,5989200.00,244548160.00,2987.00
19/7/2007,41.50,41.25,41.50,41.03,1.01,40.70,7548800.00,311243264.00,3218.00
18/7/2007,40.35,40.70,40.75,40.01,1.00,40.53,6495200.00,261805680.00,3008.00
17/7/2007,40.50,40.53,40.60,40.20,1.00,40.38,8978000.00,362659200.00,4352.00
16/7/2007,40.95,40.38,40.95,40.11,0.98,41.05,12465000.00,503791488.00,5417.00
13/7/2007,41.38,41.05,42.10,40.60,0.99,41.55,11306600.00,466200576.00,5522.00
12/7/2007,40.00,41.55,41.55,39.82,1.05,39.60,22915400.00,935193856.00,9601.00
11/7/2007,38.50,39.60,39.62,38.40,1.03,38.60,11973400.00,469625408.00,5328.00
10/7/2007,38.52,38.60,38.90,38.31,0.99,38.90,13526000.00,521615104.00,4548.00
6/7/2007,38.41,38.90,38.90,38.35,1.01,38.38,10122200.00,391621472.00,4208.00
5/7/2007,37.96,38.38,38.50,37.81,1.01,38.00,13493600.00,516042720.00,4666.00
4/7/2007,37.26,38.00,38.14,37.21,1.02,37.40,10053400.00,380935104.00,5361.00
3/7/2007,37.38,37.40,37.47,37.20,1.00,37.25,7799200.00,291300800.00,2988.00
2/7/2007,36.28,37.25,37.25,36.28,1.03,36.25,11107200.00,409696576.00,5256.00
29/6/2007,35.80,36.25,36.29,35.50,1.02,35.56,11363200.00,408981728.00,4398.00
28/6/2007,36.48,35.56,36.53,35.56,0.98,36.40,12615800.00,452880992.00,5461.00
27/6/2007,35.75,36.40,36.40,35.46,1.01,36.00,11423800.00,409447040.00,4569.00
26/6/2007,36.61,36.00,36.75,35.88,0.98,36.57,10877200.00,395457024.00,5111.00
25/6/2007,36.74,36.57,37.00,36.18,0.99,36.80,10466200.00,382806656.00,4363.00
22/6/2007,36.97,36.80,36.97,36.53,0.99,37.03,7135800.00,262318544.00,3213.00
21/6/2007,36.75,37.03,37.10,36.31,1.01,36.56,9553800.00,350984672.00,3800.00
20/6/2007,37.15,36.56,37.42,36.56,0.99,36.90,10074400.00,371628288.00,4073.00
19/6/2007,37.85,36.90,37.89,36.90,0.97,38.06,14920200.00,555683072.00,6618.00
18/6/2007,37.75,38.06,38.06,37.50,1.01,37.52,11966600.00,452256768.00,4426.00
15/6/2007,37.40,37.52,37.67,37.21,1.02,36.96,9262600.00,347225952.00,4456.00
14/6/2007,36.40,36.96,37.23,36.35,1.02,36.35,13518600.00,500158816.00,5230.00
